score,placa,tipo,candidato,fragmento,lectura,mutaciones,fuentes,count,tiene_strip
210.4,E7-5492,MOTO ANTIGUA MIXTA,E75492,E75492,E754920,0,combinado_baja_prioridad,1,False
125.4,ET-54920,MOTO ANTIGUA,ET54920,E754920,E754920,1,combinado_baja_prioridad,1,False
116.4,E7S-492,AUTO NUEVO,E7S492,E75492,E754920,1,combinado_baja_prioridad,1,False
108.4,FT-54920,MOTO ANTIGUA,FT54920,E754920,E754920,2,combinado_baja_prioridad,1,False
105.4,ET-5492,MOTO NORMAL,ET5492,E75492,E754920,1,combinado_baja_prioridad,1,False
102.4,ET-56920,MOTO ANTIGUA,ET56920,E754920,E754920,2,combinado_baja_prioridad,1,False
102.4,ET-34920,MOTO ANTIGUA,ET34920,E754920,E754920,2,combinado_baja_prioridad,1,False
102.4,ET-84920,MOTO ANTIGUA,ET84920,E754920,E754920,2,combinado_baja_prioridad,1,False
99.4,F7S-492,AUTO NUEVO,F7S492,E75492,E754920,2,combinado_baja_prioridad,1,False
98.4,T5A-920,AUTO NUEVO,T5A920,754920,E754920,2,combinado_baja_prioridad,1,False
93.4,E7S-692,AUTO NUEVO,E7S692,E75492,E754920,2,combinado_baja_prioridad,1,False
90.4,ETS-4920,AUTO ANTIGUO,ETS4920,E754920,E754920,2,combinado_baja_prioridad,1,False
88.4,FT-5492,MOTO NORMAL,FT5492,E75492,E754920,2,combinado_baja_prioridad,1,False
85.4,FT-56920,MOTO ANTIGUA,FT56920,E754920,E754920,3,combinado_baja_prioridad,1,False
85.4,FT-34920,MOTO ANTIGUA,FT34920,E754920,E754920,3,combinado_baja_prioridad,1,False
85.4,FT-84920,MOTO ANTIGUA,FT84920,E754920,E754920,3,combinado_baja_prioridad,1,False
82.4,ET-5692,MOTO NORMAL,ET5692,E75492,E754920,2,combinado_baja_prioridad,1,False
82.4,ET-3492,MOTO NORMAL,ET3492,E75492,E754920,2,combinado_baja_prioridad,1,False
82.4,ET-8492,MOTO NORMAL,ET8492,E75492,E754920,2,combinado_baja_prioridad,1,False
79.4,ET-36920,MOTO ANTIGUA,ET36920,E754920,E754920,3,combinado_baja_prioridad,1,False
79.4,ET-86920,MOTO ANTIGUA,ET86920,E754920,E754920,3,combinado_baja_prioridad,1,False
76.4,F7S-692,AUTO NUEVO,F7S692,E75492,E754920,3,combinado_baja_prioridad,1,False
75.4,T3A-920,AUTO NUEVO,T3A920,754920,E754920,3,combinado_baja_prioridad,1,False
75.4,T8A-920,AUTO NUEVO,T8A920,754920,E754920,3,combinado_baja_prioridad,1,False
73.4,FTS-4920,AUTO ANTIGUO,FTS4920,E754920,E754920,3,combinado_baja_prioridad,1,False
72.4,TS-4920,MOTO NORMAL,TS4920,754920,E754920,2,combinado_baja_prioridad,1,False
67.4,ETS-6920,AUTO ANTIGUO,ETS6920,E754920,E754920,3,combinado_baja_prioridad,1,False
65.4,FT-5692,MOTO NORMAL,FT5692,E75492,E754920,3,combinado_baja_prioridad,1,False
65.4,FT-3492,MOTO NORMAL,FT3492,E75492,E754920,3,combinado_baja_prioridad,1,False
65.4,FT-8492,MOTO NORMAL,FT8492,E75492,E754920,3,combinado_baja_prioridad,1,False
62.400000000000006,FT-36920,MOTO ANTIGUA,FT36920,E754920,E754920,4,combinado_baja_prioridad,1,False
62.400000000000006,FT-86920,MOTO ANTIGUA,FT86920,E754920,E754920,4,combinado_baja_prioridad,1,False
59.400000000000006,ET-3692,MOTO NORMAL,ET3692,E75492,E754920,3,combinado_baja_prioridad,1,False
59.400000000000006,ET-8692,MOTO NORMAL,ET8692,E75492,E754920,3,combinado_baja_prioridad,1,False
53.400000000000006,7549-ZO,MOTO INVERTIDO,7549ZO,754920,E754920,2,combinado_baja_prioridad,1,False
53.400000000000006,7549-ZD,MOTO INVERTIDO,7549ZD,754920,E754920,2,combinado_baja_prioridad,1,False
53.400000000000006,7549-ZQ,MOTO INVERTIDO,7549ZQ,754920,E754920,2,combinado_baja_prioridad,1,False
53.400000000000006,7549-ZC,MOTO INVERTIDO,7549ZC,754920,E754920,2,combinado_baja_prioridad,1,False
50.400000000000006,FTS-6920,AUTO ANTIGUO,FTS6920,E754920,E754920,4,combinado_baja_prioridad,1,False
49.400000000000006,TS-6920,MOTO NORMAL,TS6920,754920,E754920,3,combinado_baja_prioridad,1,False
42.400000000000006,FT-3692,MOTO NORMAL,FT3692,E75492,E754920,4,combinado_baja_prioridad,1,False
42.400000000000006,FT-8692,MOTO NORMAL,FT8692,E75492,E754920,4,combinado_baja_prioridad,1,False
30.400000000000006,7569-ZO,MOTO INVERTIDO,7569ZO,754920,E754920,3,combinado_baja_prioridad,1,False
30.400000000000006,7569-ZD,MOTO INVERTIDO,7569ZD,754920,E754920,3,combinado_baja_prioridad,1,False
30.400000000000006,7569-ZQ,MOTO INVERTIDO,7569ZQ,754920,E754920,3,combinado_baja_prioridad,1,False
30.400000000000006,7569-ZC,MOTO INVERTIDO,7569ZC,754920,E754920,3,combinado_baja_prioridad,1,False
